#;clingo;wasp;wasp-amo
1;0.109;0.221;2.687
2;0.112;0.221;11.339
3;0.217;0.225;11.847
4;0.217;0.78;12.873
5;0.217;3.738;13.377
6;0.327;9.813;13.381
7;1.392;13.902;13.382
8;2.433;14.409;14.405
9;3.904;16.96;15.929
10;4.095;24.632;15.936
11;4.927;36.715;16.437
12;15.295;44.799;16.444
13;45.579;92.361;16.96
14;89.917;324.932;18.486
15;93.957;648.555;18.489
16;114.09;670.72;19
17;125.209;731.424;19.506
18;132.295;838.541;19.509
19;141.334;;19.516
20;150.385;;20.017
21;247.197;;21.538
22;252.151;;21.545
23;266.338;;22.551
24;274.37;;22.553
25;293.544;;23.567
26;325.965;;24.572
27;332.877;;24.581
28;343.917;;25.577
29;356.023;;25.578
30;405.574;;25.582
31;420.61;;26.589
32;421.672;;26.591
33;454.77;;26.594
34;491.048;;26.596
35;503.155;;26.598
36;512.33;;29.625
37;533.429;;29.626
38;567.693;;29.627
39;567.81;;30.637
40;589.95;;31.648
41;605.162;;32.651
42;630.362;;32.66
43;634.211;;33.666
44;651.326;;33.668
45;667.458;;33.67
46;700.704;;33.673
47;802.736;;35.693
48;932.506;;36.691
49;939.701;;36.703
50;1049.459;;37.698
51;1073.901;;40.742
52;1119.203;;40.751
53;1164.629;;41.75
54;;;42.762
55;;;45.787
56;;;45.801
57;;;52.855
58;;;52.878
59;;;56.92
60;;;58.928
61;;;65
62;;;74.095
63;;;80.151
64;;;85.213
65;;;85.219
66;;;122.559
67;;;146.855
68;;;164.02
69;;;247.908
70;;;742.341
71;;;782.761
72;;;802.746